sample	TN	PATIENT	cancer	FDX1	LIAS	LIPT1	DLD	DLAT	PDHA1	PDHB	MTF1	GLS	CDKN2A
TCGA-BH-A1FD-01	tumor	TCGA-BH-A1FD	BRCA	8.04	7.9	6.31	11.14	10.44	10.15	10.95	10.3	11.1	8.09
TCGA-BH-A1FD-11	normal	TCGA-BH-A1FD	BRCA	9.12	7.8	7.57	11.42	10.3	11.02	10.34	9.47	10.99	6.67
TCGA-BH-A1FE-01	tumor	TCGA-BH-A1FE	BRCA	7.92	7.55	6.77	10.88	10.07	9.87	10.03	9.66	11.04	4.87
TCGA-BH-A1FE-11	normal	TCGA-BH-A1FE	BRCA	9.08	8.5	7.92	11.11	10.37	10.15	9.75	10.26	11.51	3.87
TCGA-BH-A1FG-01	tumor	TCGA-BH-A1FG	BRCA	8.71	8.01	6.92	10.63	10.19	10.32	10.47	8.82	9.29	5.06
TCGA-BH-A1FG-11	normal	TCGA-BH-A1FG	BRCA	9.83	7.63	8.97	11.32	10.58	9.88	10.46	9.35	11.41	5.64
TCGA-BH-A1FH-01	tumor	TCGA-BH-A1FH	BRCA	8.68	7.06	7.55	10.65	10.01	9.79	9.67	9.69	10.37	6.09
TCGA-BH-A1FH-11	normal	TCGA-BH-A1FH	BRCA	9.12	7.59	7.48	10.75	9.8	10.41	10.3	9.41	10.62	5.55
TCGA-BH-A1FJ-01	tumor	TCGA-BH-A1FJ	BRCA	7.83	6.93	6.84	10.51	10.4	9.72	10.58	9.08	8.58	6.13
TCGA-BH-A1FJ-11	normal	TCGA-BH-A1FJ	BRCA	9.65	7.71	7.66	11.2	10.38	9.87	10.13	10.01	11.48	5.87
TCGA-BH-A1FM-01	tumor	TCGA-BH-A1FM	BRCA	8.89	7.1	6.98	11.25	11.35	9.18	10.51	8.89	10.84	4.8
TCGA-BH-A1FM-11	normal	TCGA-BH-A1FM	BRCA	8.69	7.76	7.63	10.89	9.84	10.45	9.9	10.1	10.55	4.83
TCGA-BH-A1FN-01	tumor	TCGA-BH-A1FN	BRCA	7.91	7.72	7.11	10.25	10.32	10.17	9.27	10.82	10.96	9.06
TCGA-BH-A1FN-11	normal	TCGA-BH-A1FN	BRCA	8.99	8.03	8.15	10.73	9.81	10	10.31	9.57	10.79	4.72
TCGA-BH-A1FR-01	tumor	TCGA-BH-A1FR	BRCA	8.86	7.76	6.72	10.86	10.07	10.41	11.05	9.41	9.92	7.04
TCGA-BH-A1FR-11	normal	TCGA-BH-A1FR	BRCA	9.57	7.92	7.73	10.68	9.73	10.11	10.14	9.55	10.96	4.95
TCGA-BH-A1FU-01	tumor	TCGA-BH-A1FU	BRCA	8.57	6.16	6.61	10.87	10.65	10.8	10.03	9.57	10.46	6.93
TCGA-BH-A1FU-11	normal	TCGA-BH-A1FU	BRCA	8.47	7.64	7.52	10.59	9.93	10.32	10.1	9.76	10.17	5.09
TCGA-BH-A203-01	tumor	TCGA-BH-A203	BRCA	9.05	7.7	7.04	10.82	10.87	9.85	10.69	8.9	10.23	6.18
TCGA-BH-A203-11	normal	TCGA-BH-A203	BRCA	8.73	8.15	7.77	11.35	10.19	10.8	10.2	9.81	11.36	5.6
TCGA-BH-A204-01	tumor	TCGA-BH-A204	BRCA	7.65	8.27	6.39	12.19	10.12	10.07	10.92	8.71	10.96	6.53
TCGA-BH-A204-11	normal	TCGA-BH-A204	BRCA	8.71	7.64	7.1	11.59	10.39	11.31	10.51	9.6	10.59	7.24
TCGA-BH-A208-01	tumor	TCGA-BH-A208	BRCA	9.49	6.7	6.8	10.64	10.28	10.88	9.94	9.25	11.15	8.62
TCGA-BH-A208-11	normal	TCGA-BH-A208	BRCA	8.4	8.69	7.73	10.81	9.79	10.34	9.89	9.71	10.73	4.11
TCGA-BH-A209-01	tumor	TCGA-BH-A209	BRCA	8.77	7.6	7.17	11.38	10.98	10.78	10.99	10.05	10.34	4.96
TCGA-BH-A209-11	normal	TCGA-BH-A209	BRCA	9	7.75	7.37	11.02	9.83	10.43	10.12	9.68	10.75	5.35
TCGA-E2-A153-01	tumor	TCGA-E2-A153	BRCA	7.9	7.19	6.78	10.38	9.54	9.83	10.7	8.94	10.85	7.37
TCGA-E2-A153-11	normal	TCGA-E2-A153	BRCA	9.09	7.77	6.94	10.88	9.86	10.15	10.15	9.64	10.6	5.11
TCGA-E2-A158-01	tumor	TCGA-E2-A158	BRCA	7.5	7.63	7.23	11.12	9.09	10.35	9.12	9.82	12.7	10.79
TCGA-E2-A158-11	normal	TCGA-E2-A158	BRCA	8.45	7.73	7.08	11.53	10.02	11.41	10.58	9.39	11.29	7.07
TCGA-E2-A15I-01	tumor	TCGA-E2-A15I	BRCA	8.32	7.79	7.4	11.07	9.75	9.69	10.11	9.88	9.71	5.65
TCGA-E2-A15I-11	normal	TCGA-E2-A15I	BRCA	8.88	8.85	7.71	11.77	10.58	11.88	10.75	9.57	10.93	6.25
TCGA-E2-A15K-01	tumor	TCGA-E2-A15K	BRCA	7.38	7.49	6.74	10.6	8.83	9.92	10.6	9.07	9.61	4.49
TCGA-E2-A15K-11	normal	TCGA-E2-A15K	BRCA	8.51	7.58	7.46	10.23	8.97	10.32	10.33	8.79	9.86	6.93
TCGA-E2-A15M-01	tumor	TCGA-E2-A15M	BRCA	8.25	7.51	7.17	10.99	10.1	10.51	10.52	9.5	10.77	6.29
TCGA-E2-A15M-11	normal	TCGA-E2-A15M	BRCA	8.74	7.42	7.22	10.68	9.61	10.17	10.06	9.71	10.9	6.01
TCGA-E2-A1BC-01	tumor	TCGA-E2-A1BC	BRCA	8.59	7.41	6.92	10.52	10.06	10.2	10.36	9.51	10.05	5.76
TCGA-E2-A1BC-11	normal	TCGA-E2-A1BC	BRCA	8.68	9.1	7.09	11.71	10.95	12.22	10.78	8.77	9.91	3.63
TCGA-E2-A1IG-01	tumor	TCGA-E2-A1IG	BRCA	7.23	7.67	6.2	10.14	8.88	10.14	10.33	9.24	10.44	6.67
TCGA-E2-A1IG-11	normal	TCGA-E2-A1IG	BRCA	8.8	7.67	6.39	11.38	10.31	11.35	10.23	9.68	10.32	5.54
TCGA-E2-A1L7-01	tumor	TCGA-E2-A1L7	BRCA	7.55	7.66	7.15	9.36	9.8	10.44	9.53	9.69	9.85	10.07
TCGA-E2-A1L7-11	normal	TCGA-E2-A1L7	BRCA	8.26	7.8	7.51	10.7	9.52	10.05	9.9	9.46	10.22	6.36
TCGA-E2-A1LB-01	tumor	TCGA-E2-A1LB	BRCA	9.28	7.13	6.58	10.7	10.05	10.71	10.75	8.94	8.86	4.21
TCGA-E2-A1LB-11	normal	TCGA-E2-A1LB	BRCA	8.37	8.66	7.32	10.53	9.78	10.25	9.89	9.43	10.52	4.53
TCGA-E2-A1LH-01	tumor	TCGA-E2-A1LH	BRCA	8.94	6.7	6.23	9.61	10.13	10.71	10.43	8.19	11.5	7.21
TCGA-E2-A1LH-11	normal	TCGA-E2-A1LH	BRCA	8.9	7.9	7.44	10.47	9.56	10.27	9.97	9.45	10.24	4.89
TCGA-E2-A1LS-01	tumor	TCGA-E2-A1LS	BRCA	8.82	6.36	7.96	11.36	9.18	11.19	10.62	7.9	11.72	7.23
TCGA-E2-A1LS-11	normal	TCGA-E2-A1LS	BRCA	9.38	7.92	7.59	12.33	11.27	12.13	11.21	9.58	10.67	3.51
TCGA-E9-A1N4-01	tumor	TCGA-E9-A1N4	BRCA	8.63	7.91	6.77	11.83	10.88	10.97	10.47	9.54	11.31	5
TCGA-E9-A1N4-11	normal	TCGA-E9-A1N4	BRCA	8.74	8.66	7.71	10.86	10.07	10.15	10.03	9.84	10.95	3.81
TCGA-E9-A1N5-01	tumor	TCGA-E9-A1N5	BRCA	7.05	7.43	6.53	10.29	9.01	9.95	10.44	9.75	9.93	6.42
TCGA-E9-A1N5-11	normal	TCGA-E9-A1N5	BRCA	8.35	8.08	6.93	10.77	10.04	10.25	10.08	9.35	10.84	4.58
TCGA-E9-A1N6-01	tumor	TCGA-E9-A1N6	BRCA	8.75	6.48	5.76	10.49	10.3	10.28	9.96	8.82	10.27	7.55
TCGA-E9-A1N6-11	normal	TCGA-E9-A1N6	BRCA	8.7	7.82	6.89	10.77	9.71	10.44	9.84	9.78	10.59	5.5
TCGA-E9-A1N9-01	tumor	TCGA-E9-A1N9	BRCA	8.25	8.06	7.39	10.72	9.97	10.52	10.08	9.35	9.99	5.41
TCGA-E9-A1N9-11	normal	TCGA-E9-A1N9	BRCA	8.37	7.83	7.21	11.27	9.82	10.52	10.09	9.82	10.19	4.61
TCGA-E9-A1NA-01	tumor	TCGA-E9-A1NA	BRCA	7.41	6.6	7.4	10.38	9.35	9.78	10.2	9.12	10.51	7.01
TCGA-E9-A1NA-11	normal	TCGA-E9-A1NA	BRCA	8.38	7.51	7.02	10.79	9.67	10.49	10.18	9.56	10.61	6.51
TCGA-E9-A1ND-01	tumor	TCGA-E9-A1ND	BRCA	9.06	6.45	6.84	11.41	10.04	11.54	10.08	8.91	10.79	9.26
TCGA-E9-A1ND-11	normal	TCGA-E9-A1ND	BRCA	9.78	8.11	7.44	10.79	9.21	10.57	10.44	8.59	10.28	5.74
TCGA-E9-A1NF-01	tumor	TCGA-E9-A1NF	BRCA	8.57	7.02	6.23	10.83	9.61	10.12	10.11	8.64	11.33	7.36
TCGA-E9-A1NF-11	normal	TCGA-E9-A1NF	BRCA	8.79	7.17	6.85	11.1	9.91	10.74	10.04	9.49	10.88	6.2
TCGA-E9-A1NG-01	tumor	TCGA-E9-A1NG	BRCA	8.18	7.34	6.82	10.83	9.42	10	10.56	8.83	11.07	7.75
TCGA-E9-A1NG-11	normal	TCGA-E9-A1NG	BRCA	8.84	7.47	7.18	11.07	9.97	10.56	10.07	9.55	10.98	7.13
TCGA-E9-A1R7-01	tumor	TCGA-E9-A1R7	BRCA	7.66	6.51	6.65	10.71	9.59	9.38	9.82	9.29	9.73	5.46
TCGA-E9-A1R7-11	normal	TCGA-E9-A1R7	BRCA	8.77	8.09	7.13	11.48	9.87	10.6	10.17	9.63	11.09	5.51
TCGA-E9-A1RB-01	tumor	TCGA-E9-A1RB	BRCA	8.79	7	5.98	11.36	10.95	10.69	10.95	9.85	10.18	9.06
TCGA-E9-A1RB-11	normal	TCGA-E9-A1RB	BRCA	8.48	8.36	7.29	11.23	9.78	10.6	10.14	9.81	10.64	6.68
TCGA-E9-A1RC-01	tumor	TCGA-E9-A1RC	BRCA	8.04	7.27	6.58	11.06	10.12	10.04	10.65	9.17	9.63	7.31
TCGA-E9-A1RC-11	normal	TCGA-E9-A1RC	BRCA	9.28	7.99	7.23	11.81	10.11	11.52	10.57	9.39	10.88	3.61
TCGA-E9-A1RD-01	tumor	TCGA-E9-A1RD	BRCA	8.92	7.64	7.71	11.17	9.94	10.2	11.32	9.48	10.06	6.15
TCGA-E9-A1RD-11	normal	TCGA-E9-A1RD	BRCA	8.77	8.16	7.38	11.51	9.82	11.04	10.42	9.49	10.99	4.79
TCGA-E9-A1RF-01	tumor	TCGA-E9-A1RF	BRCA	7.61	7.98	7.12	10.44	8.58	10.56	10.35	8.87	9.96	6.85
TCGA-E9-A1RF-11	normal	TCGA-E9-A1RF	BRCA	8.83	7.62	7.41	11.97	10.23	11.23	10.41	9.84	11.17	4.34
TCGA-E9-A1RH-01	tumor	TCGA-E9-A1RH	BRCA	7.96	6.95	6.83	11.53	10.14	9.4	9.92	9.45	10.17	7.78
TCGA-E9-A1RH-11	normal	TCGA-E9-A1RH	BRCA	8.84	8.61	7.27	12.04	10.55	11.66	10.74	9.46	10.71	6.38
TCGA-E9-A1RI-01	tumor	TCGA-E9-A1RI	BRCA	8.7	7.66	6.88	10.92	9.98	10.09	10.68	9.37	10.99	6.5
TCGA-E9-A1RI-11	normal	TCGA-E9-A1RI	BRCA	9.6	8.24	7.42	12.1	10.13	11.04	10.53	9.64	11.57	4.73
TCGA-GI-A2C8-01	tumor	TCGA-GI-A2C8	BRCA	8.39	6.45	6.57	11.04	10.42	10.29	10.11	9.19	10.37	7.55
TCGA-GI-A2C8-11	normal	TCGA-GI-A2C8	BRCA	9.9	9.53	7.41	13.21	12.15	12.78	12.1	9.5	10.11	0.6
TCGA-GI-A2C9-01	tumor	TCGA-GI-A2C9	BRCA	8.89	7.08	6.56	10.33	10.51	11.01	9.41	9.45	12.84	8.47
TCGA-GI-A2C9-11	normal	TCGA-GI-A2C9	BRCA	9	7.22	7.19	10.52	9.66	10.15	9.9	9.88	11.13	6.21
TCGA-W5-AA2I-01	tumor	TCGA-W5-AA2I	CHOL	8.78	8.61	6.84	9.94	9.1	10.14	9.41	8.32	10.75	8.97
TCGA-W5-AA2I-11	normal	TCGA-W5-AA2I	CHOL	11.27	8.68	6.81	11.61	8.75	11.9	11.36	7.38	8.45	4.06
TCGA-W5-AA2Q-01	tumor	TCGA-W5-AA2Q	CHOL	8.38	7.25	7.78	10.24	9.7	10.33	10.29	8.86	11.52	6.6
TCGA-W5-AA2Q-11	normal	TCGA-W5-AA2Q	CHOL	10.51	8.09	6.87	11.14	8.85	11.21	10.99	7.94	8.9	4.13
TCGA-W5-AA2R-01	tumor	TCGA-W5-AA2R	CHOL	8.38	7.52	7.04	11.36	10.18	10.89	9.62	8.59	11.38	8.35
TCGA-W5-AA2R-11	normal	TCGA-W5-AA2R	CHOL	10.99	7.88	6.84	11.36	10.81	11.29	10.87	7.87	8.63	5.48
TCGA-W5-AA2U-01	tumor	TCGA-W5-AA2U	CHOL	8.27	8.2	7.05	10.19	9.35	11.08	9.86	9.04	10.82	7.13
TCGA-W5-AA2U-11	normal	TCGA-W5-AA2U	CHOL	11.07	8.26	6.98	10.97	9.22	11.07	10.79	7.95	8.33	1.69
TCGA-W5-AA2X-01	tumor	TCGA-W5-AA2X	CHOL	8.25	7.87	6.66	11.1	9.32	11.11	9.4	8.22	9.58	10.18
TCGA-W5-AA2X-11	normal	TCGA-W5-AA2X	CHOL	10.97	8.19	6.65	11.23	9.65	11.36	10.8	7.92	9.45	3.79
TCGA-W5-AA30-01	tumor	TCGA-W5-AA30	CHOL	8.26	7.85	6.9	10.69	9.17	10.33	9.54	9.23	10.53	6.07
TCGA-W5-AA30-11	normal	TCGA-W5-AA30	CHOL	10.71	8.42	6.78	11.29	9.16	11.28	11.21	7.11	9.05	4.64
TCGA-W5-AA31-01	tumor	TCGA-W5-AA31	CHOL	8.25	7.17	6.52	10.18	9.3	10.73	9.92	9.3	11.07	7.09
TCGA-W5-AA31-11	normal	TCGA-W5-AA31	CHOL	10.77	8.54	6.39	11.77	9.53	11.6	11.05	7.47	8.69	1.9
TCGA-W5-AA34-01	tumor	TCGA-W5-AA34	CHOL	8.56	7.79	6.64	10.71	9.3	11.28	9.69	8.76	9.88	6.59
TCGA-W5-AA34-11	normal	TCGA-W5-AA34	CHOL	11.12	8.67	6.75	11.81	9.23	11.8	11.58	7.51	8.94	5.22
TCGA-ZU-A8S4-01	tumor	TCGA-ZU-A8S4	CHOL	8.88	7.58	6.31	10.89	9.93	10.81	10.15	8.4	10.75	5.42
TCGA-ZU-A8S4-11	normal	TCGA-ZU-A8S4	CHOL	11.08	8.05	6.69	11.74	9.46	11.44	10.96	7.82	8.85	1.67
TCGA-A6-2671-01	tumor	TCGA-A6-2671	COAD	8.66	6.4	6.27	10.85	9.63	10.98	10.59	8.85	10.54	6.54
TCGA-A6-2671-11	normal	TCGA-A6-2671	COAD	9.62	7.97	6.41	11.53	10.45	11.51	10.53	9.25	10.37	4.66
TCGA-A6-2675-01	tumor	TCGA-A6-2675	COAD	9	7.44	6.55	11.16	10.38	11.7	10.11	9	11.04	5.45
TCGA-A6-2675-11	normal	TCGA-A6-2675	COAD	9.22	7.58	6.62	11.5	10.32	11.16	10.51	9.22	10.82	4.19
TCGA-A6-2678-01	tumor	TCGA-A6-2678	COAD	9.75	7.99	7.39	12.08	11.59	11.48	10.39	9.12	12.21	5.99
TCGA-A6-2678-11	normal	TCGA-A6-2678	COAD	9.62	8.25	6.75	11.63	10.6	11.6	10.44	9.53	10.3	3.54
TCGA-A6-2679-01	tumor	TCGA-A6-2679	COAD	8.27	5.31	4.32	10.51	9.17	11.17	9.1	5.71	9.31	7.84
TCGA-A6-2679-11	normal	TCGA-A6-2679	COAD	9.5	7.68	6.67	11.57	10.49	11.55	10.49	9.6	10.42	4.63
TCGA-A6-2680-01	tumor	TCGA-A6-2680	COAD	9.93	7.09	5.42	11.42	10.26	11.41	10.26	8.44	10.65	7.28
TCGA-A6-2680-11	normal	TCGA-A6-2680	COAD	10.03	7.7	7.07	11.32	9.88	11.23	10.05	9.07	12.46	6.32
TCGA-A6-2682-01	tumor	TCGA-A6-2682	COAD	8.82	7.91	6.93	11.26	10.35	11.34	10.59	8.47	11.05	6.01
TCGA-A6-2682-11	normal	TCGA-A6-2682	COAD	9.85	8	6.53	11.61	10.42	11.62	10.54	9.76	10.65	4.51
TCGA-A6-2683-01	tumor	TCGA-A6-2683	COAD	9.33	7.03	5.39	9.72	9.31	12.19	9.5	8.2	9.44	6.57
TCGA-A6-2683-11	normal	TCGA-A6-2683	COAD	10.14	8.39	6.76	10.94	10.68	11.86	10.72	9.29	10.48	3.48
TCGA-A6-2684-01	tumor	TCGA-A6-2684	COAD	9.18	7.01	7.06	11.01	10.72	12.15	10.45	8.9	11.47	7.08
TCGA-A6-2684-11	normal	TCGA-A6-2684	COAD	10.13	8.33	6.29	11.52	10.43	11.68	10.62	9.11	11.07	4.73
TCGA-A6-2685-01	tumor	TCGA-A6-2685	COAD	8.79	7.8	6.52	10.89	10.14	10.93	10.22	8.46	11.07	7.19
TCGA-A6-2685-11	normal	TCGA-A6-2685	COAD	9.54	7.85	6.36	11.66	10.81	11.64	10.62	9.92	10.42	3.92
TCGA-A6-2686-01	tumor	TCGA-A6-2686	COAD	9.58	7.68	7.57	11.51	9.34	10.96	9.79	8.33	10.94	11.45
TCGA-A6-2686-11	normal	TCGA-A6-2686	COAD	10.02	8.18	6.41	12.03	10.91	11.78	10.77	9.35	11.1	4.57
TCGA-A6-5659-01	tumor	TCGA-A6-5659	COAD	9.37	7.07	6.53	11.65	10.25	12.42	10.18	8.91	11.61	6.09
TCGA-A6-5659-11	normal	TCGA-A6-5659	COAD	10.45	7.98	6.48	12.05	10.76	11.71	10.46	9.29	11.16	3.28
TCGA-A6-5662-01	tumor	TCGA-A6-5662	COAD	9.73	7.62	6.76	10.77	10.24	10.63	11.04	7.68	12.1	7.3
TCGA-A6-5662-11	normal	TCGA-A6-5662	COAD	9.6	8.14	6.59	11.66	10.39	11.33	10.57	9.08	10.55	3.73
TCGA-A6-5665-01	tumor	TCGA-A6-5665	COAD	9.19	7.94	6.7	11.44	11	11.28	10.75	8.49	10.44	8.07
TCGA-A6-5665-11	normal	TCGA-A6-5665	COAD	10.34	7.68	6.51	11.9	10.62	11.53	10.56	10.02	11.62	4.14
TCGA-A6-5667-01	tumor	TCGA-A6-5667	COAD	9.18	6.83	6.66	11.36	10.82	12.26	10.16	8.32	11.4	5
TCGA-A6-5667-11	normal	TCGA-A6-5667	COAD	9.24	8.09	6.22	11.57	10.67	11.63	10.39	9.62	10.34	3.79
TCGA-AA-3489-01	tumor	TCGA-AA-3489	COAD	8.65	6.74	6.57	11.15	10.07	10.98	10.04	9.23	11.05	5.4
TCGA-AA-3489-11	normal	TCGA-AA-3489	COAD	9.47	8.16	7.54	11.53	10.61	11.15	11.24	8.82	10.58	5.39
TCGA-AA-3496-01	tumor	TCGA-AA-3496	COAD	8.44	7.19	6.96	11.6	10.41	11.56	10.19	9.21	11.25	3.65
TCGA-AA-3496-11	normal	TCGA-AA-3496	COAD	9.55	8.12	6.94	11.72	10.35	11.29	10.88	9.01	10.78	4.19
TCGA-AA-3511-01	tumor	TCGA-AA-3511	COAD	9.03	7.69	6.23	11.32	10.39	11.35	10.63	9.04	11.07	5.61
TCGA-AA-3511-11	normal	TCGA-AA-3511	COAD	9.12	8.02	6.56	11.49	10.65	11.41	10.61	9.31	10.45	4.53
TCGA-AA-3514-01	tumor	TCGA-AA-3514	COAD	8.66	8.08	4.93	9.89	9.48	10.72	10.09	7.84	9.74	6.53
TCGA-AA-3514-11	normal	TCGA-AA-3514	COAD	9.73	7.92	6.22	11.91	10.88	11.82	10.28	9.96	10.33	3.86
TCGA-AA-3517-01	tumor	TCGA-AA-3517	COAD	8.36	7.21	6.92	11.04	10.16	10.7	9.76	8.03	11.82	2.94
TCGA-AA-3517-11	normal	TCGA-AA-3517	COAD	9.84	7.82	6.83	11.46	10.37	11.48	10.37	9.49	10.73	4.57
TCGA-AA-3518-01	tumor	TCGA-AA-3518	COAD	9.15	8.29	6.55	11.35	11.3	11.03	10.33	8.45	11.26	4.02
TCGA-AA-3518-11	normal	TCGA-AA-3518	COAD	10	8.19	6.67	11.64	10.49	11.5	10.39	9.18	10.59	4.01
TCGA-AA-3520-01	tumor	TCGA-AA-3520	COAD	9.6	7.55	7.06	11.27	11.09	10.98	10.61	8.64	11.41	7
TCGA-AA-3520-11	normal	TCGA-AA-3520	COAD	9.96	8.03	6.62	11.79	10.69	11.62	10.52	9.4	10.84	4.51
TCGA-AA-3522-01	tumor	TCGA-AA-3522	COAD	9.34	8.4	7.32	11.86	10.73	11.2	10.64	8.44	11.18	5.14
TCGA-AA-3522-11	normal	TCGA-AA-3522	COAD	9.9	8.19	6.51	11.76	10.74	11.73	10.58	9.45	10.53	3.74
TCGA-AA-3525-01	tumor	TCGA-AA-3525	COAD	8.92	8.15	6.56	11.05	10.91	10.63	10.35	8.44	10.68	4.64
TCGA-AA-3525-11	normal	TCGA-AA-3525	COAD	9.47	8.26	6.33	11.68	10.45	11.68	10.57	9.62	10.63	4.8
TCGA-AA-3527-01	tumor	TCGA-AA-3527	COAD	9.37	7.86	5.26	9.78	9.25	10.79	9.94	8.05	9.28	5.9
TCGA-AA-3527-11	normal	TCGA-AA-3527	COAD	9.95	8	6.4	11.79	10.65	11.65	10.48	9.83	10.41	5.35
TCGA-AA-3531-01	tumor	TCGA-AA-3531	COAD	8.45	7.29	6.6	10.83	10.2	12.4	10.3	7.74	10.8	6.71
TCGA-AA-3531-11	normal	TCGA-AA-3531	COAD	9.71	7.67	6.31	11.59	10.32	11.43	10.4	10.17	11.05	4.16
TCGA-AA-3534-01	tumor	TCGA-AA-3534	COAD	9.4	8.49	7.1	11.41	10.82	10.75	10.35	8.41	11.97	3.85
TCGA-AA-3534-11	normal	TCGA-AA-3534	COAD	9.56	8.05	6.5	11.51	10.51	11.55	10.39	9.44	10.36	4.9
TCGA-AA-3655-01	tumor	TCGA-AA-3655	COAD	8.76	7.77	6.23	11.46	10.5	11.6	10.02	9.31	10.76	7.5
TCGA-AA-3655-11	normal	TCGA-AA-3655	COAD	9.46	8.62	7.37	11.66	10.54	11.36	10.82	8.84	10.11	5.36
TCGA-AA-3660-01	tumor	TCGA-AA-3660	COAD	9.22	7.7	5.71	10.77	10.12	11.33	9.99	8.5	10.37	6.46
TCGA-AA-3660-11	normal	TCGA-AA-3660	COAD	9.64	8.71	7.05	11.42	10.28	11.17	10.74	8.89	10.06	4.86
TCGA-AA-3662-01	tumor	TCGA-AA-3662	COAD	9.09	7.77	6.68	11.08	9.91	11	9.5	8.74	11.68	9.73
TCGA-AA-3662-11	normal	TCGA-AA-3662	COAD	9.18	8.68	7.13	11.26	10.35	11.07	10.57	8.85	9.99	5.96
TCGA-AA-3663-01	tumor	TCGA-AA-3663	COAD	9.75	8.37	6.99	10.89	10.35	10.73	10.52	8.35	11.21	8.76
TCGA-AA-3663-11	normal	TCGA-AA-3663	COAD	9.64	7.96	6.66	11.75	10.71	11.56	10.63	8.91	10.53	3.94
TCGA-AA-3697-01	tumor	TCGA-AA-3697	COAD	9.29	7.03	6.58	11.21	10.4	11.18	9.9	8.6	11.46	4.04
TCGA-AA-3697-11	normal	TCGA-AA-3697	COAD	9.34	7.82	6.24	11.7	10.91	11.51	10.65	9.36	10.05	4.2
TCGA-AA-3712-01	tumor	TCGA-AA-3712	COAD	8.95	7.41	5.9	11.44	9.82	10.15	9.68	8.55	11.14	7.45
TCGA-AA-3712-11	normal	TCGA-AA-3712	COAD	9.33	8.16	6.46	11.33	10.48	11.4	10.48	9.76	10.38	4.53
TCGA-AA-3713-01	tumor	TCGA-AA-3713	COAD	9.24	8.17	6.66	11	10.82	11.2	10.43	9.54	10.63	2.84
TCGA-AA-3713-11	normal	TCGA-AA-3713	COAD	10.43	8.66	7.46	11.95	11.3	11.78	11.2	8.08	10.79	3.79
TCGA-AZ-6598-01	tumor	TCGA-AZ-6598	COAD	8.86	7.05	6.07	10.63	10.29	10.71	9.79	8.25	10.39	4.6
TCGA-AZ-6598-11	normal	TCGA-AZ-6598	COAD	9.42	8.18	5.99	11.53	10.56	11.71	10.22	9.3	10.12	4.09
TCGA-AZ-6599-01	tumor	TCGA-AZ-6599	COAD	8.56	7.89	6.63	10.57	9.75	10.48	9.89	8.84	10.24	4.93
TCGA-AZ-6599-11	normal	TCGA-AZ-6599	COAD	9.55	7.95	6.3	11.62	10.7	11.5	10.26	9.35	10.48	3.57
TCGA-AZ-6600-01	tumor	TCGA-AZ-6600	COAD	9.84	7.66	6.02	11.5	10.58	11.74	9.91	8.69	11.55	8.55
TCGA-AZ-6600-11	normal	TCGA-AZ-6600	COAD	10	7.52	6.26	11.76	10.82	11.93	10.37	9.48	10.52	4.15
TCGA-AZ-6601-01	tumor	TCGA-AZ-6601	COAD	8.86	8.14	6.96	10.66	10.59	10.69	10.32	8.99	10.34	6.44
TCGA-AZ-6601-11	normal	TCGA-AZ-6601	COAD	9.27	7.63	6.39	11.59	10.84	11.45	10.54	9.7	10.6	3.61
TCGA-AZ-6603-01	tumor	TCGA-AZ-6603	COAD	9.07	7.37	6.78	10.96	10.28	12.09	10.3	9.06	10.99	6.4
TCGA-AZ-6603-11	normal	TCGA-AZ-6603	COAD	8.51	7.79	6.87	11.11	10.23	10.85	10.41	9.51	9.85	4.46
TCGA-AZ-6605-01	tumor	TCGA-AZ-6605	COAD	9.39	7.88	6.55	11.16	10.13	11.24	10.38	8.51	11.13	6.64
TCGA-AZ-6605-11	normal	TCGA-AZ-6605	COAD	8.69	8.09	6.85	11.55	10.17	10.98	10.96	8.91	10.24	4.1
TCGA-F4-6704-01	tumor	TCGA-F4-6704	COAD	8.43	8.06	5.94	11.06	10.02	10.47	10.68	8.6	10.6	6.66
TCGA-F4-6704-11	normal	TCGA-F4-6704	COAD	9.5	7.9	5.62	11.75	10.85	11.48	10.62	9.66	10.29	3.03
TCGA-IC-A6RE-01	tumor	TCGA-IC-A6RE	ESCA	9.47	7.43	6.11	10.67	9.76	11.34	9.27	8.61	11.57	8.4
TCGA-IC-A6RE-11	normal	TCGA-IC-A6RE	ESCA	8.83	7.89	5.84	10.73	10.38	10.36	10.16	10.92	9.77	6.16
TCGA-IC-A6RF-01	tumor	TCGA-IC-A6RF	ESCA	9.7	7.06	6.5	10.43	10.25	9.9	9.42	9.98	10.6	9.04
TCGA-IC-A6RF-11	normal	TCGA-IC-A6RF	ESCA	9.03	7.15	5.55	10.78	10.4	10.17	9.67	10.44	9.5	8.19
TCGA-IG-A3I8-01	tumor	TCGA-IG-A3I8	ESCA	8.91	6.81	6.25	10.65	10.14	10.89	9.04	9.12	11.62	7.98
TCGA-IG-A3I8-11	normal	TCGA-IG-A3I8	ESCA	9.26	7.53	6.19	12.03	10.34	11.65	10.81	9.24	12.03	3.33
TCGA-L5-A43C-01	tumor	TCGA-L5-A43C	ESCA	9.42	6.61	6.07	11.37	9.67	10.64	10.11	9.23	11.48	7.07
TCGA-L5-A43C-11	normal	TCGA-L5-A43C	ESCA	10.29	7.95	6.78	11.66	10.29	11.85	10.72	9.04	9.98	5.15
