sample	CancerType	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P.value	Correlation	RMSE
TCGA-AR-A24Z-01	BRCA	0.047976128	0	0.032436934	0.008297771	0	0.033581568	0	0.040961175	0.002273318	0.020683825	0	0	0	0.210966089	0.017695071	0.550733387	0	0	0.014602166	0	0	0.019792568	0.036	0.146015393	1.066348466
TCGA-E9-A22E-01	BRCA	0.037509099	0	0.011591537	0.15988925	0	0.02898119	0	0.041402657	0.068572421	0	0	0.008550071	0	0.159459663	0.078522668	0.344990464	0	0	0.06053098	0	0	0	0.026	0.162028765	1.025165843
TCGA-E9-A1RC-01	BRCA	0.006701918	0.002635245	0	0	0.053610828	0.001125775	0	0.038359897	0.014381701	0.050849987	0.026886067	0	0	0.619272181	0	0.084805464	0	0.023457022	0.077913915	0	0	0	0.03	0.154419235	1.093587479
TCGA-AR-A256-01	BRCA	0	0.060479144	0	0.002327147	0	0.048727601	0	0.099146851	0.004451607	0.028806243	0	0	0	0.273142716	0.051065767	0.259149805	0.024933252	0.114461174	0	0.033308692	0	0	0.002	0.298636513	0.971353284
TCGA-AR-A251-01	BRCA	0.110673231	0	0.019940931	0.045972458	0	0.231047639	0	0.06240993	0	0	0.012409611	0	0.015716556	0.069862753	0.137992501	0.24264001	0	0.050219779	0	0	0	0.001114601	0.028	0.157703042	1.028702253
TCGA-E9-A1RF-01	BRCA	0.025985529	0	0.018194826	0.14004253	0	0.104422964	0	0.069175711	0.03087576	0	0	0.037779264	0.001671636	0.098634653	0.088225776	0.35725138	0.000378097	0.001509863	0.02418235	0	0	0.00166966	0.098	0.101577218	1.051328375
TCGA-AR-A250-01	BRCA	0.023681824	0	0.009287243	0.090401577	0	0.180833153	0	0.049839977	0.048945218	0	0	0	0.009852455	0.191415622	0.093334761	0.223003438	0.004170562	0	0.07523417	0	0	0	0.148	0.072349366	1.061054232
TCGA-GM-A2DK-01	BRCA	0.043745784	0	0.01394976	0.107248669	0	0.022703658	0	0.097905761	0.010191458	0	0	0.037515887	0.002577326	0.217857806	0.034546525	0.386597422	0	0	0.025159943	0	0	0	0.04	0.141655092	1.043225376
TCGA-D8-A27N-01	BRCA	0.123946735	0	0.110977843	0.064498203	0	0.050997393	0	0.021983513	0.0169712	0	0	0.021040422	0	0.133488885	0.021688378	0.354126265	0	0	0.067117117	0	0	0.013164046	0	0.318483627	0.95614877
TCGA-E9-A2JS-01	BRCA	0.007395113	0	0.010540572	0.100233816	0	0.138658801	0	0.060739898	0.027709651	0	0.011612807	0.017507788	0.010399055	0.049172654	0.061510154	0.329004699	0.005445864	0	0.163570504	0	0	0.006498625	0.048	0.138433481	1.026385576
TCGA-D8-A27P-01	BRCA	0.001689339	0.041685272	0.007464006	0.017102813	0	0.097926651	0	0.055708781	0.034362611	0	0.046448573	0	0.017393122	0.279174096	0.020024723	0.255558338	0.009177757	0	0.116283919	0	0	0	0.144	0.074841148	1.064904343
TCGA-AR-A2LL-01	BRCA	0.079249655	0	0.053588775	0.044041047	0	0.051267796	0	0.020393633	0.003053416	0	0	0.02004198	0	0.212145811	0.018840353	0.334011665	0.028985213	0	0.125568427	0	0	0.00881223	0.012	0.202418486	1.009553125
TCGA-AR-A2LK-01	BRCA	0.044518749	0	0.011531108	0.031924786	0	0.090628372	0	0.030427155	0.013238038	0	0	0.008746308	0.029650617	0.103060173	0.035930821	0.480360377	0.005740731	0	0.114242765	0	0	0	0.11	0.096180383	1.058166747
TCGA-AR-A2LM-01	BRCA	0.0459802	0	0.022317922	0.229917254	0	0.076616416	0.002564986	0.052269608	0	0	0	0	0.023606553	0.017862232	0.095794299	0.15285319	0.036929546	0	0.243287794	0	0	0	0.022	0.16777927	1.015908216
TCGA-GM-A2DF-01	BRCA	0.034551797	0.026300089	0.11162853	0.09164851	0	0.04412039	0	0.063766846	0.039027488	0	0	0.055603112	0.007382307	0.129104289	0.082281193	0.310223093	0.000689397	0	0	0.00367296	0	0	0.01	0.228722325	0.996274117
TCGA-E9-A1N4-01	BRCA	0.039985693	0.014192279	0	0.037884833	0	0.115425356	0.00365844	0.033664596	0.013828116	0.001006729	0.03606483	0	0.005276968	0.240053582	0.045385605	0.348095104	0	0	0.052167286	0.013310583	0	0	0	0.562927488	0.831937562
TCGA-D8-A1XZ-01	BRCA	0.025883443	0	0.066508117	0.084594965	0	0.159664964	0	0.067158067	0.016131422	0.018434273	0	0	0.017656474	0.049609166	0.05249556	0.385526338	0	0	0.033765264	0.009262928	0	0.013309019	0.036	0.143729036	1.027293183
TCGA-GM-A2DH-01	BRCA	0.041123768	0.050832517	0	0.154079607	0	0.25273612	0.007323661	0.096213328	0.032110277	0	0	0.000758578	0.023666962	0.070621043	0.103612505	0.113016401	0.00896802	6.29E-05	0.04487431	0	0	0	0.012	0.217517037	1.005561963
TCGA-GM-A2DD-01	BRCA	0.041575369	0	0	0.137205436	0	0.262968868	0.016589322	0.059991556	0.020472247	0	0	0.01258047	0.019991287	0.028530398	0.131214784	0.222680389	0.014446746	0	0.031753128	0	0	0	0.05	0.133580911	1.042342358
TCGA-D8-A27L-01	BRCA	0.11885132	0	0.045588799	0.051509057	0	0.164017059	0	0.054126953	0.031557966	0	0	0.018270354	0.02626005	0.003211741	0.082824646	0.195656988	0.021373351	0	0.184224684	0	0	0.002527032	0.012	0.219695333	0.990501945
TCGA-E9-A1NE-01	BRCA	0.102418978	0	0	0.21228017	0	0.28920513	0	0.090234454	0.006920052	0.051249429	0	0.042863464	0.008364719	0.014653688	0.066569969	0.0842226	0	0	0.031017347	0	0	0	0.028	0.157895054	1.054363053
TCGA-D8-A1XY-01	BRCA	0.003480408	0	0.025774486	0.052846207	0	0.068991253	0	0.032978769	0.008885836	0	0	0	0.00163078	0.022540154	0.021865041	0.550159538	0	0.006885392	0.188021915	0	0	0.015940221	0.01	0.237902012	0.997558343
TCGA-E2-A1LG-01	BRCA	0.048735963	0	0.121249007	0.062660351	0	0.067214733	0	0.123974955	0	0	0	0	0	0.078911782	0.156889002	0.301259567	0.025913704	0	0.013190936	0	0	0	0.002	0.286170154	0.973341585
TCGA-E9-A1NG-01	BRCA	0.008604219	0.002471709	0	0.04210522	0	0.076626196	0	0.011752974	0.033665056	0	0.00768439	0	0.002268388	0.131335395	0.002326046	0.592068387	0.001467483	0.002193868	0.046829129	0.027702917	0	0.010898622	0	0.506850581	0.86231786
TCGA-AC-A2FB-01	BRCA	0.11237016	0	0	0.159138893	0	0.320998666	0.02313452	0.051727342	0	0	0	0.01753423	0.029647595	0.000109278	0.109352733	0.090460859	0.005343284	0	0.080182439	0	0	0	0.014	0.188865066	1.022248569
TCGA-A2-A25A-01	BRCA	0.148508396	0	0.06193037	0.09195315	0	0.213544103	0	0.04717618	0.005744824	0	0	0.021898031	0.011443257	0.003333756	0.097988955	0.170342649	0.026238984	0	0.099897346	0	0	0	0.002	0.284617093	0.967620421
TCGA-AC-A2FG-01	BRCA	0.068014669	0	0.118091769	0.118014682	0	0.097450199	0	0.022539533	0	0	0	0	0.019950287	0	0.015209308	0.287096874	0.08618014	0	0.167452541	0	0	0	0.002	0.288801026	0.9634204
TCGA-AC-A2FF-01	BRCA	0.014575315	0.027960458	0.082918357	0.104845792	0	0.250416148	0	0.017279003	0.011545927	0.019738286	0	0.003806532	0.003037577	0	0.070926258	0.141616787	0.065507527	0	0.185826032	0	0	0	0.014	0.193116247	1.003183221
TCGA-BH-A28Q-01	BRCA	0.087893147	0	0.018529111	0.186110422	0	0.061477263	0	0.107281315	0.001743307	0	0	0	0.020515248	0.023849561	0.110508024	0.193137125	0.009161397	0	0.17979408	0	0	0	0.024	0.164024434	1.016296396
TCGA-EW-A2FS-01	BRCA	0.013290393	0.114820441	0.11126532	0.100085808	0	0.173417709	0	0.160604463	0	0.0165278	0	0.032896709	0.02243612	0.006910802	0.079761669	0.092501102	0.04813869	0	0	0.027342976	0	0	0.002	0.301707209	0.96630238
TCGA-D8-A27V-01	BRCA	0.117411751	0	0.026807703	0.060865872	0	0.225653093	0	0.040554129	0	0	0	0.013753235	0.009623049	0	0.095825757	0.251087374	0.074332296	0	0.084085741	0	0	0	0.012	0.216099559	0.992760433
TCGA-D8-A1XR-01	BRCA	0	0.007203185	0.017205172	0.03831069	0	0.026057743	0	0.025174289	0.011044589	0	0.001528366	0	0	0.290354041	0.026670457	0.455594171	0.028120752	0	0.046180461	0.026556083	0	0	0.048	0.135888203	1.074272629
TCGA-D8-A1XO-01	BRCA	0.091955107	0	0.005190944	0.182084491	0	0.163254677	0.009531831	0.026269456	0.013169407	0	0	0	0.12488627	0	0.021281014	0.300508267	0	0.00148516	0.047202477	0.001244212	0	0.011936687	0.03	0.153895504	1.021316622
TCGA-D8-A1XT-01	BRCA	0.012082995	0	0	0.054870777	0	0.093663528	0	0.046367812	0.015513363	0	0	0	0	0.267903883	0.08242849	0.382457172	0	0	0.038744807	0	0	0.005967173	0	0.310869132	0.970302381
TCGA-D8-A1XW-01	BRCA	0.033626739	0	0.006773341	0.003128461	0	0.116735304	0	0.028878455	0.032560576	0	0	0.011746641	0.014476286	0.064684358	0.069560939	0.563297727	0.007657966	0	0.046873208	0	0	0	0.116	0.09376295	1.069989112
TCGA-D8-A27H-01	BRCA	0.081202778	0	0.023599241	0.060047641	0	0.092874561	0	0.057854436	0	0	0.008876595	0.002306284	0.013075468	0.046290513	0.073724664	0.445933136	0	0	0.094214684	0	0	0	0.05	0.134072871	1.032944265
TCGA-D8-A27K-01	BRCA	0.096987313	0	0.021559443	0.11529749	0	0.291402678	0	0.066730392	0	0	0.008194759	0	0.037474362	0	0.096023	0.230637388	0	0	0.035693176	0	0	0	0.038	0.142604045	1.033436527
TCGA-D8-A1XV-01	BRCA	0	0.045705661	0.001803313	0.071198244	0	0.093130942	0.01710688	0.00275537	0.012003478	0	0.07699215	0	0.035697808	0	0	0.364777358	0.00517752	0.013074356	0.260576919	0	0	0	0.11	0.095625071	1.045823816
TCGA-B6-A0X4-01	BRCA	0	0.058746173	0	0.070542887	0	0.001768513	0	0.154286315	0	0	0.015107081	0.054816445	0.04651547	0	0.012275065	0.408642798	0.079979736	0.034093826	0.063225691	0	0	0	0.59	-0.001451232	1.082139582
TCGA-B6-A0WW-01	BRCA	0.027445163	0	0.0163036	0.056740954	0	0.108224609	0	0.136323824	0	0	0.013306434	0	0	0	0.146859941	0.438801229	0	0	0.051274451	0	0	0.004719794	0.118	0.093208113	1.059649547
TCGA-AN-A0XT-01	BRCA	0.002255639	0.044827507	0.092510261	0.099549265	0	0.085332482	0	0.065363043	0.007399433	0	0	0.044328029	0.035582649	0	0.059773938	0.210523686	0	0	0.252554068	0	0	0	0.01	0.225832261	0.989890218
TCGA-A2-A0YK-01	BRCA	0.170723997	0	0.058855667	0.192801377	0	0.185030459	0	0.097478033	0.010684688	0.005884496	0	0.014237915	0.005871657	0	0.057414832	0.091990745	0.072414774	0	0.036611359	0	0	0	0.002	0.300250006	0.967821608
TCGA-AN-A0XV-01	BRCA	0.100338212	0	0.030516828	0.083514026	0	0.204240751	0	0.094550847	0	0.046286592	0	0.02329323	0	0.015930779	0.111376285	0.165886887	0.035872279	0.017554557	0.070638728	0	0	0	0.024	0.166338621	1.019132443
TCGA-AR-A0U0-01	BRCA	0.024007181	0	0.039026811	0.147385854	0	0.104269376	0.034446651	0.083492395	0.010640304	0	0.040036035	0	0	0.024159463	0.194700342	0.256186926	0.015381402	0	0.022809632	0	0	0.003457627	0.11	0.097120766	1.062446628
TCGA-B6-A0WV-01	BRCA	0.043254733	0	0.063601846	0.188067171	0	0.04586894	0	0.040486484	0	0	0	0	0.004633248	0.063762402	0.066054528	0.355013924	0.042659845	0	0.086596881	0	0	0	0.424	0.016860289	1.07395862
TCGA-AR-A0U2-01	BRCA	0.05005898	0	0.010306208	0.202802175	0	0.228057979	0	0.041761904	0.013225699	0	0	0.042160736	0.022436144	0.082883052	0.054094973	0.201376711	0	0	0.050835439	0	0	0	0.092	0.105004555	1.051071757
TCGA-B6-A0X5-01	BRCA	0.004885073	0.075883186	0.008946346	0.129447105	0	0.022456915	0	0.024367529	0	0	0	0	0.002579314	0	0.008752119	0.542675049	0	0.002104286	0.177903077	0	0	0	0.214	0.054039643	1.074923732
TCGA-B6-A0X1-01	BRCA	0.046608791	0	0.00830622	0.233300671	0	0	0.055850975	0.105243032	0.03188489	0	0	0.080223115	0.048578306	0.018462236	0.105014316	0.219959534	0	0.036571574	0.007961119	0	0	0.002035222	0.048	0.134986159	1.040195524
TCGA-E9-A1NF-01	BRCA	0.037652942	0	0.013641705	0.054106514	0	0.033970831	0	0.026667194	0.031494593	0	0	0.003440874	0	0.307974023	0.04950077	0.409916973	0	0	0.013992986	0.015185397	0	0.002455199	0	0.467508112	0.886341242
TCGA-E9-A1R4-01	BRCA	0.034417966	0	0.003080805	0.059346744	0	0.227627835	0	0.05557378	0.042440934	0	0.00954591	0.008981015	0.041859833	0	0.055830162	0.410268702	0.006819403	0	0.024499961	0	0	0.019706951	0.02	0.174891062	1.017906087
TCGA-E9-A1R2-01	BRCA	0.108617381	0	0.040991496	0.135290789	0	0.170364085	0	0.111923706	0.026113223	0	0	0.018061672	0.005124391	0.017081589	0.103798319	0.192370401	0.000347342	0	0.069915607	0	0	0	0.008	0.269727114	0.976595901
TCGA-E9-A1N9-01	BRCA	0.067302656	0	0.031857967	0.111497435	0	0.300799268	0	0.064063722	0.016893585	0	0	0.019635972	0.019459308	0.004346283	0.113847588	0.157376603	0.075352382	0	0.017567232	0	0	0	0.05	0.132687727	1.039870681
TCGA-E9-A1NH-01	BRCA	0.056988414	0	0.018377912	0.075460053	0	0.133994182	0	0.05164179	0.017818857	0	0	0.005726641	0	0	0.04011266	0.384259513	0.135351045	0	0.067639361	0	0	0.012629571	0.06	0.122043772	1.032224961
TCGA-AR-A0U3-01	BRCA	0.031961388	0	0.013187936	0.069106989	0	0.180631063	0.001336198	0.081423945	0.027511532	0	0.000351816	0	0.009170458	0.150464811	0.078427304	0.291170773	0.005776523	0	0.059479263	0	0	0	0.012	0.203516924	1.004651513
TCGA-AN-A0XU-01	BRCA	0.073816617	0	0.028504269	0.11276178	0	0.032761663	0.025302485	0.102563318	0.013985474	0	0	0.073992963	0	0.10037551	0.114565719	0.283825491	0.035032281	0	0	0.00251243	0	0	0.048	0.138500792	1.033996122
TCGA-E9-A1R5-01	BRCA	0.041714952	0	0.04132439	0.038658648	0	0.141091597	0	0	0	0.00284934	0.021720701	0	0	0.126153672	0.086496986	0.37500704	0.012853542	0	0.104696927	0	0	0.007432203	0.028	0.156367304	1.024711053
TCGA-E9-A1R7-01	BRCA	0.131623839	0	0.252685331	0.064867969	0	0.280253472	0	0	0	0	0	0.016540815	0.005365225	0.027561357	0.055554398	0.123680651	0.0057617	0	0.036105242	0	0	0	0.012	0.222067168	1.02545216
TCGA-AC-A2FK-01	BRCA	0.139499195	0	0.145755388	0.092287425	0	0.142100064	0	0.037821978	0	0	0	0.020145193	0.014734428	0.051807963	0.031091572	0.140404067	0.056545058	0	0.12780767	0	0	0	0	0.385520519	0.92311419
TCGA-EW-A1PH-01	BRCA	0.108878167	0	0.046378804	0.140655654	0	0.095960733	0.049859927	0.11258013	0	0	0.029774662	0	0.003651261	0.092587615	0.09844756	0.156100934	0.010793295	0.020760546	0	0.024028346	0	0.009542365	0.012	0.202841479	1.003007663
TCGA-AR-A2LE-01	BRCA	0.070734763	0	0.031827134	0.082035495	0	0.188720453	0	0.014504151	0	0	0.00943636	0	0.007342797	0	0.109214987	0.286626271	0.123370976	0	0.076186611	0	0	0	0.036	0.14312447	1.022046071
TCGA-AC-A2FO-01	BRCA	0.073383391	0	0.056949162	0.117293286	0	0.327877853	0	0.011032045	0	0.007943124	0	0.021765373	0.019510293	0	0.062500248	0.150498456	0.08193141	0	0.069315358	0	0	0	0.014	0.190667667	1.008039469
TCGA-C8-A27A-01	BRCA	0.099995399	0	0.070950124	0.032607991	0	0.058859194	0	0.030244217	0.00058716	0	0	0.032187731	0	0.215220086	0.098335822	0.357460316	0	0	0	0	0	0.00355196	0.014	0.192944727	1.023323847
TCGA-B6-A0WT-01	BRCA	0.072317419	0	0.164245461	0.05861861	0	0.098356955	0	0.055065292	0.007008566	0	0.013196473	0	0	0.035814156	0.051045631	0.271998384	0.000923597	0.01871533	0.140512943	0	0	0.012181185	0	0.32977494	0.948120618
TCGA-AN-A0XN-01	BRCA	0.003272647	0.008205568	0	0.052696753	0	0.003881188	0.009256478	0.033485314	0.03913835	0	0	0	0	0.347019045	0.015470951	0.460306731	0	0	0	0.025208015	0.00205896	0	0	0.39314112	0.939453123
TCGA-EW-A2FW-01	BRCA	0.067899022	0	0.052007327	0.048778514	0	0.095840937	0	0.047724161	0.002968869	0	0	0.005465388	0	0.187883861	0.048391086	0.32722198	0	0	0.115818855	0	0	0	0.008	0.261399349	0.979713568
TCGA-B6-A1KN-01	BRCA	0.117362016	0	0.050199142	0.080751635	0	0.191301083	0	0.152099231	0	0	0.02641751	0	0.007837208	0.016767966	0.108171727	0.161354044	0.000142661	0.049488819	0.038106957	0	0	0	0.008	0.255805837	0.984076939
TCGA-E9-A1R6-01	BRCA	0.014340804	0	0.021248624	0.037021471	0	0	0	0.063454064	0.017377904	0	0.006777852	0.004983184	0	0.240831792	0.037976208	0.470570196	0	0	0.077855517	0	0	0.007562384	0.026	0.160402161	1.049557013
TCGA-D8-A1JA-01	BRCA	0.020459877	0.001079133	0	0.083310633	0	0.137277259	0	0.024115754	0	0	0	0	0.006424521	0	0.092081423	0.318859016	0	0.179889417	0.127524981	0	0	0.008977987	0.046	0.138822046	1.035843634
TCGA-EW-A1IY-01	BRCA	0.030632708	0.001164935	0	0.120703241	0	0.190380659	0.006395228	0.060962661	0.009946251	0.103584168	0	0.031001128	0	0	0.182049181	0.122674919	0.097650036	0	0.042854886	0	0	0	0.076	0.115715103	1.060165121
TCGA-AC-A23E-01	BRCA	0.0331584	0	0.004324316	0.021494434	0	0.032631228	0	0.006098724	0.0126799	0	0.010612806	0	0	0.162332037	0.01392009	0.567502019	0	0	0.102995188	0	0	0.032250859	0	0.462001201	0.889556813
TCGA-A1-A0SB-01	BRCA	0.062022191	0	0.097387315	0.06908892	0	0.099754219	0	0.036904378	0	0	0.003956005	0.007297933	0.0026531	0	0	0.489746316	0	0.077210008	0.053979615	0	0	0	0.176	0.063501213	1.065117207
TCGA-C8-A1HK-01	BRCA	0.213299424	0	0.188556464	0.113685393	0	0.149575595	0	0.052815183	0	0	0	0.0191227	0.001078515	0	0.057260004	0.197654344	0.002454669	0	0.00449771	0	0	0	0	0.434067965	0.905353775
TCGA-BH-A1FR-01	BRCA	0.022069332	0.069262394	0	0.138754635	0	0.097951089	0	0.035243187	0.043473024	0	0.009289226	0	0.004391104	0.147417436	0.104743967	0.261405833	0.010661399	0	0	0.055337375	0	0	0.022	0.167620461	1.021663667
TCGA-BH-A1FG-01	BRCA	0.035487601	0	0.023075255	0.065781764	0	0.139590911	0	0.03429214	0	0.011066655	0	0.015333453	0.030445646	0.018415986	0.053679687	0.330651785	0.000730665	0	0.238022637	0	0	0.003425816	0.086	0.108494391	1.03722618
TCGA-D8-A1JN-01	BRCA	0.020391991	0	0.040421436	0.148454819	0	0.186771263	0	0.098869949	0.028686048	0	0	0.021302911	0.002569419	0	0.08355584	0.305508843	0.00643733	0	0.057030152	0	0	0	0.066	0.120566737	1.040978179
TCGA-D8-A1JK-01	BRCA	0.039346881	0	0.006414047	0.085028714	0	0.034626992	0.035863742	0.081236378	0.021167944	0	0.044662529	0	0	0.207651176	0.121030462	0.252385493	0.018896347	0	0	0.048132483	0	0.003556811	0.164	0.065850665	1.070308454
TCGA-EW-A1PF-01	BRCA	0.082564685	0	0.01699377	0.039210124	0	0.156359523	0	0.055803005	0.046039025	0	0.011287757	0	0.003332191	0.123113778	0.09301717	0.293790981	0	0	0.07848799	0	0	0	0.048	0.135437823	1.029316368
TCGA-EW-A1PD-01	BRCA	0.042833015	0	0.03423023	0.035313694	0	0.058236588	0	0.030563646	0.002716292	0	0	0.012718622	0	0.385580322	0.035837282	0.305561704	0.009992177	0	0.042164738	0.00425169	0	0	0.008	0.260910143	1.003353925
TCGA-B6-A1KF-01	BRCA	0.016952955	0.027930369	0.006104652	0.017913068	0	0.134143687	0	0.044268276	0.016151966	0	0.075746412	0	0.04014855	0.488339285	0.005856191	0.105062222	0	0	0	0.021382368	0	0	0.02	0.175650215	1.050448922
TCGA-D8-A1JI-01	BRCA	0.011038234	0	0.042823383	0.048996866	0	0.070978976	0	0.082442476	0	0	0.010581261	0.0110799	0.090887708	0	0.027289143	0.481156056	0.019374978	0	0.055769102	0.047581917	0	0	0.03	0.151304429	1.028301608
TCGA-BH-A1FN-01	BRCA	0.034826995	0	0.026460386	0.023837641	0	0	0	0.129570828	0	0	0.012237388	0	0	0.419569504	0.054282042	0.257160891	0	0	0	0.014969993	0	0.027084332	0.008	0.251166702	1.012403746
TCGA-D8-A1JB-01	BRCA	0.074322224	0.046302922	0.027583346	0.215802211	0	0.124206091	0	0.130132131	0.004544506	0.047445565	0	0.017084345	0	0	0.063848458	0.165329265	0.03151773	0	0.051881207	0	0	0	0.012	0.201469255	1.01133058
TCGA-EW-A1PE-01	BRCA	0.153715532	0	0.136292744	0.067278709	0	0.085465246	0.015156579	0.050926322	0	0	0	0.00232205	0	0.058200367	0.07636272	0.292975514	0	0	0.035509508	0	0	0.025794709	0	0.367893914	0.93284033
TCGA-EW-A1P7-01	BRCA	0.09210845	0.180416595	0.052058283	0.092766267	0	0.203409629	0	0.094596242	0.035455475	0.016574875	0	0.031552039	0.002244997	0.037050382	0.036770802	0.101246116	0	0.001764804	0.021985045	0	0	0	0	0.373860168	0.933947584
TCGA-E2-A1IU-01	BRCA	0.064137623	0.048890873	0.089280618	0.09713565	0	0.125745762	0	0.084701716	0	0	0	0.004574457	0	0.009132833	0.06465241	0.304504754	0.009351986	0	0.086176278	0	0	0.01171504	0.002	0.285024234	0.965849805
TCGA-E2-A1IL-01	BRCA	0.102863738	0	0.095925412	0.049581838	0	0.074843101	0	0.050422102	0	0	0.002073302	0.014637233	0.017840124	0.043349636	0.089127237	0.351287994	0.022464622	0	0.080343281	0	0	0.005240379	0.008	0.254265203	0.98071582
TCGA-E9-A1N5-01	BRCA	0.001689408	0.000117931	0.00507209	0.161807838	0	0.11286082	0	0.069249353	0.035741461	0	0	0.067797531	0.01121655	0.033792655	0.065021639	0.296109453	0.00312927	0	0.136367513	0	0	2.65E-05	0	0.402395834	0.915044252
TCGA-E2-A1LH-01	BRCA	0.041291626	0.039194501	0.016140622	0.158430258	0	0.1773214	0	0.095096115	0.047785179	0.002884936	0	0.035798167	0	0.050421415	0.115227465	0.202527755	0	0	0.017880561	0	0	0	0.072	0.117429017	1.050136289
TCGA-E2-A1LK-01	BRCA	0	0.057985899	0	0.048332124	0	0	0	0.025436967	0.002164217	0	0	0.0145382	0	0.529272761	0.024014978	0.224986853	0	0.040095581	0	0.03317242	0	0	0.208	0.056144264	1.145013184
TCGA-E2-A1IF-01	BRCA	0.084103877	0	0.026673234	0.088341787	0	0.005627251	0	0.080751015	0.0807721	0	0.008162393	0	0.014536339	0.345984309	0.061966718	0.17784022	0	0	0.019635322	0	0.005605434	0	0.034	0.146783647	1.041993157
TCGA-E2-A1IK-01	BRCA	0.031555524	0.00799319	0.047487182	0.146476379	0	0.161774909	0	0.078283833	0.024262778	0.015348499	0	0.029818711	0.000678105	0.055030474	0.110570448	0.239441156	0	0	0	0.051278812	0	0	0.052	0.128799126	1.039583468
TCGA-D8-A1XF-01	BRCA	0.003888781	0.010255741	0.132198779	0.046857611	0	0.033464117	0.005406942	0.020252134	0.008378063	0	0.0142336	0	0	0.229545959	0.064024733	0.356283889	0	0	0.075209653	0	0	0	0.014	0.187535782	1.024608113
TCGA-E2-A1II-01	BRCA	0.026172005	0.018483605	0	0.202395291	0	0.134944929	0.099830914	0.087393919	0.022414777	0	0	0.045098165	0.018440587	0.013197524	0.187650058	0.104108104	0.017208552	0	0.02266157	0	0	0	0.13	0.081134767	1.082053283
TCGA-D8-A1X5-01	BRCA	0.047377996	0	0.044824239	0.054772291	0	0.139016345	0	0.054188429	0	0	0	0.010588895	0.078107261	0.035392725	0.062045181	0.416738656	0	0	0.031641421	0	0	0.025306561	0.054	0.126865285	1.0351672
TCGA-E2-A1LL-01	BRCA	0.001430869	0.010234428	0.018107372	0.097536912	0	0	0	0.160350937	0.004183466	0	0.02085502	0.012785959	0.008129342	0.035087953	0.087816051	0.39479075	0.091975933	0	0	0.056715009	0	0	0.198	0.057570349	1.067708598
TCGA-D8-A1XC-01	BRCA	0	0.019151297	0	0.063634205	0	0.070514017	0	0.010109147	0.019682775	0	0.066032277	0	0.03076452	0.187080548	0.004666287	0.268743753	0	0	0.259621174	0	0	0	0.098	0.101356329	1.051792036
TCGA-E2-A1LB-01	BRCA	0.062875589	0	0.118370515	0.060211255	0	0.101639693	0	0.019531507	0.044230421	0	0.001904182	0.010879198	0.032041164	0	0.02202743	0.522426447	0	0	0.003862598	0	0	0	0.01	0.245698411	0.993463268
TCGA-D8-A1XD-01	BRCA	0.143997069	0	0.136955424	0.011236085	0	0.095033041	0	0	0.004573661	0	0.000160589	0.005660749	0	0.196896	0.017553213	0.279275486	0	0	0.100844779	0	0	0.007813904	0	0.335893329	0.951273209
TCGA-A1-A0SQ-01	BRCA	0.101358479	0	0.286813674	0.024528374	0	0.133153824	0	0.010291969	0	0	0	0.016230518	0.011404091	0	0.032330472	0.309300317	0.004651575	0	0.063961079	0	0	0.005975627	0	0.356162948	0.952796091
TCGA-E9-A1NA-01	BRCA	0	0.045510022	0.006744243	0.095367705	0	0	0	0.051247058	0.017369302	0	0	0.04089761	0.002800582	0.014583515	0	0.594938019	0.005663817	0.054880604	0.056118495	0	0	0.013879028	0.024	0.164494993	1.034002887
TCGA-EW-A1IX-01	BRCA	0.053281849	0	0.032187943	0.047656834	0	0.114716399	0	0.057549214	0.01250184	0	0	0.035226166	0	0	0.010858188	0.430313116	0.002653507	0.004632205	0	0.188895626	0	0.009527113	0.054	0.127229697	1.045153056
TCGA-A1-A0SI-01	BRCA	0.073010818	0	0.041396363	0.133257413	0	0.1173891	0	0.122121289	0.005098227	0	0	0.010606989	0.001592456	0.166961287	0.062426004	0.187225622	0	0	0.078914433	0	0	0	0.02	0.173903419	1.013841434
TCGA-A1-A0SG-01	BRCA	0.190850215	0.076242455	0.012071183	0.098569581	0	0.112326423	0	0.043657109	0	0	0.006902062	0	0.017682561	0	0.044175234	0.228856554	0.026673362	0	0.141993262	0	0	0	0	0.434874809	0.899826321
TCGA-E9-A1N8-01	BRCA	0	0.024432104	0	0.104761089	0	0.16849059	0	0.16451499	0	0	0	0	0.010790797	0.244300046	0.100841908	0.145189344	0	0	0.03667913	0	0	0	0.072	0.117933998	1.052033799
TCGA-EW-A1OZ-01	BRCA	0	0.026367025	0.003902404	0.081652879	0	0.107621832	0	0.056341485	0.043769415	0	0	0	0	0.203899857	0.012030316	0.348426388	0.004141388	0	0.105171853	0	0	0.006675157	0.048	0.134907178	1.040173946
