Drug	SYNONYMS	TARGET	TARGET_PATHWAY
PARP_9495	SN1024601395	"PARP1, PARP2, PARP7"	Genome integrity
PARP_108	SN1044053371	"PARP1, PARP2, PARP6"	Genome integrity
PARP_9482	SN1031920820	"PARP1, PARP2, PARP5a"	Genome integrity
TANK_1366	SN1032446568	"Tankyrase 1/2 (PARP5a, PARP5b)"	Genome integrity
AZD1332	SN1061387896	"NTRK1, NTRK2, NTRK3"	RTK 
TTK_3146	SN1080714093	TTK	Mitosis
SN.38	SN1095903706	TOP1	DNA replication
SN.38	"7-Ethyl-10-Hydroxy-Camptothecin, SN 38"	TOP1	DNA replication
Olaparib	"AZD2281, KU0059436,  Lynparza"	"PARP1, PARP2"	Genome integrity
Cisplatin	Cisplatin	DNA crosslinker	DNA replication
AZD4547	AZ6	"FGFR1, FGFR2, FGFR3"	RTK 
Selumetinib	"AZD6244, AZD-6244, ARRY-886"	"MEK1, MEK2"	ERK MAPK 
Bicalutamide	"ICI-176334, Casodex, Cosudex, ICI 176334"	AR	Hormone-related
Ruxolitinib	"INCB-18424, Ruxolitinib Phosphate, Jakafi"	"JAK1, JAK2"	"Other, kinases"
Linsitinib	"OSI-906, ASP-7487"	IGF1R	IGF1R 
Epirubicin	"Ellence, Farmorubicin, IMI-28"	Anthracycline	DNA replication
Cyclophosphamide	"Cytoxan, Neosar, Cyclophosphamid, Procytox, Cyclophosphane"	Alkylating agent	DNA replication
Refametinib	"RDEA119, BAY-86-9766, BAY 869766"	"MEK1, MEK2"	ERK MAPK 
Pictilisib	"GDC-0941, GDC0941, RG-7621"	PI3K (class 1)	PI3K/MTOR 
Pevonedistat	"MLN4924, MLN 4924, MLN-4924"	NAE	Other
PFI.3	BDF00016096	"SMARCA2, SMARCA4, PB1"	Chromatin other
Sapitinib	AZD8931	"EGFR, ERBB2, ERBB3"	EGFR 
Uprosertib	"GSK2141795, GSK2141795C, GSK-2141795"	"AKT1, AKT2, AKT3"	PI3K/MTOR 
LCL161		"XIAP, IAP1, IAP2"	Apoptosis regulation
Lapatinib	"Tykerb, Tyverb"	"EGFR, ERBB2"	EGFR 
Luminespib	"AUY922, VER-52296,NVP-AUY922,  AUY"	HSP90	Protein stability and degradation
Alpelisib	"BYL719, BYL-719, NVP-BYL719"	PI3Kalpha	PI3K/MTOR 
Taselisib	"GDC-0032, GDC0032, RG7604"	PI3K (beta sparing)	PI3K/MTOR 
EPZ5676	"EPZ-5676, Pinometostat"	DOT1L	Chromatin histone methylation
SCH772984	CS-1421	"ERK1, ERK2"	ERK MAPK 
IWP-2	Wnt Inhibitor IWP-2	PORCN	WNT 
Leflunomide	"Sulol, SU-101, HWA-486, Arava"	Pyrimidine synthesis inhibitor	DNA replication
Entinostat	MS-275	"HDAC1, HDAC3"	Chromatin histone acetylation
OSI-027	A-1065-5	"MTORC1, MTORC2"	PI3K/MTOR 
LGK974	LGK-974	PORCN	WNT 
VE-822	"VE 822, VE822, Berzosertib"	ATR	Genome integrity
WZ4003	WZ 4003	"NUAK1, NUAK2"	"Other, kinases"
CZC24832	GTPL6653	PI3Kgamma	PI3K/MTOR 
AZD5582	"GTPL7710, AOB5560"	"XIAP, cIAP"	Apoptosis regulation
GSK2606414	AK175551	PERK	Metabolism
PFI3	"PFI-3, PFI 3, AOB2221"	"Polybromo 1, SMARCA4, SMARCA2"	Chromatin other
PCI-34051	AK298746	"HDAC8, HDAC6, HDAC1"	Chromatin histone acetylation
Wnt.C59	"AOB3540, AK161197"	PORCN	WNT 
I.BET.762	GSK525762A	"BRD2, BRD3, BRD4"	Chromatin other
RVX-208	"1044870-39-4, Apabetalone"	BRD4	Chromatin other
OTX015	"Birabresib, OTX-015, MK-8628"	"BRD2, BRD3, BRD4"	Chromatin other
GSK343	"GTPL8240, AOB3680, AK175558"	EZH2	Chromatin histone methylation
ML323	"GTPL7898, AOB2313,"	"USP1, UAF1"	Protein stability and degradation
Entospletinib	GS-9973	SYK	"Other, kinases"
PRT062607	"P505-15, PRT-2607, BIIB-057"	SYK	"Other, kinases"
Ribociclib	"LEE011, NVP-LEE011, LEE011-BBA"	"CDK4, CDK6"	Cell cycle
AGI.6780	AK162157	IDH2 R140Q mutant	Metabolism
Picolinici.acid	Picolinate	Inflammatory related	Other
AZD5153	"SN1045566955, AZD5153"	BRD4	Chromatin other
CDK9_5576	"SN1047226266, CDK9_5576"	CDK9	Cell cycle
CDK9_5038	"SN1047483750, CDK9_5038"	CDK9	Cell cycle
Eg5_9814	"SN1047613775, Eg5_9814"	KSP11	Other
ERK_2440	"SN1051032892, ERK_2440"	"ERK1,ERK2"	ERK MAPK 
ERK_6604	"SN1047587618, ERK_6604"	"ERK1,ERK2"	ERK MAPK 
IRAK4_4710	"SN1050852374, IRAK4_4710"	IRAK4	"Other, kinases"
JAK1_8709	"SN1049200060, JAK1_8709"	JAK1	"Other, kinases"
AZD5991	"SN1049446612, AZD5991"	MCL1	Apoptosis regulation
PAK_5339	"SN1046290829, PAK_5339"	"PAK1, PAK2"	Cytoskeleton
TAF1_5496	"SN1050393042, TAF1_5496"	TAF1	Other
ULK1_4989	"SN1049257073, ULK1_4989"	ULK1	"Other, kinases"
VSP34_8731	"SN1049998399, VSP34_8731"	VSP34	Other
Selumetinib	"SN1103949345, AZD1480"	"MEK1, MEK2"	ERK MAPK 
IGF1R_3801	"SN1051640224, IGF1R_3801"	IGFR1	IGF1R 
JAK_8517	"SN1066590414, JAK_8517"	"JAK1, JAK2"	"Other, kinases"
AZD4547	1035270-39-3	"FGFR1, FGFR2, FGFR3"	RTK 
Ibrutinib	"PCI-32765, CRA-032765, PCI-32765-00"	BTK	"Other, kinases"
Zoledronate	"Zoledronic acid, Zometa, Reclast"		Unclassified
Acetalax	Oxyphenisatin acetate		Unclassified
Oxaliplatin		DNA alkylating agent	DNA replication
Carmustine			DNA replication
Topotecan			DNA replication
Teniposide	Vumon		DNA replication
Mitoxantrone			DNA replication
Dactinomycin	Actinomycin D		Other
Fludarabine	Fludara		Unclassified
Nelarabine	"Atriance, Arranon"		DNA replication
Fulvestrant			Hormone-related
Vincristine			Mitosis
Docetaxel	"RP-56976, Taxotere"	Microtubule stabiliser	Mitosis
Podophyllotoxin.bromide			Unclassified
Dihydrorotenone			Unclassified
Gallibiscoquinazole			Unclassified
Elephantin			Unclassified
Sinularin			Unclassified
Sabutoclax	BI-97C1	"BCL2,  BCL-XL,  BFL1, MCL1"	Apoptosis regulation
LY2109761	5XE	TGFB1	Other
OF-1		"BRPF1B, BRPF2"	Chromatin histone acetylation
MN.64		"TNKS1, TNKS2"	WNT 
KRAS (G12C) Inhibitor-12	GTPL8020	KRAS (G12C)	ERK MAPK 
MG.132	"LLL cpd, MG 132, MG132"	"Proteasome, CAPN1"	Protein stability and degradation
BDP.00009066		MRCKB_HUMAN	Cytoskeleton
Buparlisib	"BKM120, NVP-BKM120"	"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma"	PI3K/MTOR 
Ulixertinib	"BVD-523, VRT752271"	"ERK1, ERK2"	ERK MAPK 
Venetoclax	"ABT-199, Veneclexta, GDC-0199"	BCL2	Apoptosis regulation
ABT737		"BCL2, BCL-XL,  BCL-W, BCL-B, BFL1"	Apoptosis regulation
Dactinomycin	"Actinomycin D, Cosmegen, Lyovac, Meractinomycin, Ac-De, ActD"	RNA polymerase	Other
Afuresertib	"GSK2110183, GSK2110183C"	"AKT1, AKT2, AKT3"	PI3K/MTOR 
AGI-5198	IDH-C35	IDH1 (R132H)	Metabolism
AZD3759		EGFR	EGFR 
AZD5363		"AKT1, AKT2, AKT3, ROCK2"	"Other, kinases"
AZD6738	"AZD 6738, AZD-6738"	ATR	Genome integrity
AZD8186	"AZD 8186, AZD-8186"	"PI3Kalpha, PI3Kbeta"	PI3K/MTOR 
Osimertinib	"AZD9291, AZD 9291, AZD-9291, Tagrisso, Mereletinib"	EGFR	EGFR 
Cediranib	"AZD2171, AZD 2171, AZD-2171, Recentin"	"VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB"	RTK 
Ipatasertib	"GDC0068, GDC 0068, GDC-0068"	"AKT1, AKT, AKT3"	PI3K/MTOR 
GDC0810	"GDC-0810, GDC 0810"	"ESR1, ESR2"	Hormone-related
GNE.317	"GNE317, GNE 317"	PI3Kalpha	PI3K/MTOR 
GSK2578215A	"GSK 2578215A,  GSK-2578215A"	LRRK2	"Other, kinases"
I.BRD9	"GSK602, GSK 602, GSK-602"	BRD9	Chromatin other
Telomerase.Inhibitor.IX	"MST-312, MST 312, MST312"	Telomerase	Genome integrity
MIRA-1	"MIRA 1, MIRA1, NSC19630, NSC-19630, NSC 19630"	TP53	p53 pathway
NVP.ADW742	"NVP ADW742, NVPADW742"	IGF1R	IGF1R 
P22077	"P 22077, P-22077"	"USP7, USP47"	Protein stability and degradation
Savolitinib	"AZD6094, Volitinib, AZD-6094, AZD 6094"	MET	RTK 
UMI.77	"UMI 77, UMI-77"	MCL1	Apoptosis regulation
WIKI4	"WIKI-4, WIKI 4"	"TNKS1, TNKS2"	WNT 
Sepantronium.bromide	"YM155, YM-155, YM 155"	BIRC5	Apoptosis regulation
MIM1	"MIM 1, MIM-1"	MCL1	Apoptosis regulation
WEHI.539	"WEHI539, WEHI-539"	BCL-XL	Apoptosis regulation
BPD.00008900			Other
Foretinib	"GSK1363089, XL-880, EXEL-2880, GSK089"	"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR"	RTK 
BIBR.1532		TERT	Genome integrity
Pyridostatin		G-quadruplex stabiliser	DNA replication
AMG.319	AMG319	PI3K (beta sparing)	PI3K/MTOR 
MK.8776	SCH900776	"CHEK1, CHEK2, CDK2"	Cell cycle
Ulixertinib	"BVD-523, VRT752271"	"ERK1, ERK2"	ERK MAPK 
Vinorelbine	"vinorelbine tartrate, Navelbine, Exelbine"	Microtubule destabiliser	Mitosis
VX-11e	"VX11e, VX11e"	ERK2	ERK MAPK 
Uprosertib	"GSK2141795, GSK2141795C, GSK-2141795"	"AKT1, AKT2, AKT3"	PI3K/MTOR 
LJI308		"RSK2, RSK1, RSK3"	PI3K/MTOR 
AZ6102		"TNKS1, TNKS2"	WNT 
GSK591	"EPZ015866, GSK3203591"	PMRT5	Chromatin histone methylation
VE821	"VE 821, VE-821"	ATR	Genome integrity
AZD6482	"AZD 6482, AZD-6482, AK-55409"	PI3Kbeta	PI3K/MTOR 
AT13148		AKT1	PI3K/MTOR 
BMS.754807	BMS-754807	"IGF1R, IR"	IGF1R 
JQ1	"JQ-1, (+)-JQ-1"	"BRD2, BRD3, BRD4, BRDT"	Chromatin other
